formation,fairy,speed,has_HG,tank,has_armor,max_HP,DPS,has_chip,damage
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod3 10/10 speq,1,30
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod3 10/10 speq,1,31
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod3 10/10 speq,1,31
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod3 10/10 speq,1,29
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod3 10/10 speq,1,30
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod3 10/10 speq,1,45
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod3 10/10 speq,1,34
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod3 10/10 speq,1,31
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod3 10/10 speq,1,32
b-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod3 10/10 speq,1,26
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 9/8,1,60
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 9/8,1,9
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 9/8,1,19
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 9/8,1,17
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 9/8,1,13
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 9/8,1,12
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 9/8,1,52
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 9/8,1,10
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 9/8,1,11
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 9/8,1,67
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 9/8,1,38
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 9/8,1,12
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 9/8,1,65
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 9/8,1,12
b-formation,5* dmg1 Rescue,10,1,M16,1,605,uzi mod2 9/8,1,14
b-formation,5* fervor Mortar,4,1,M16,1,605,416 mod2 10/8 speq,1,32
b-formation,5* fervor Mortar,4,1,M16,1,605,416 mod2 10/8 speq,1,10
b-formation,5* fervor Mortar,4,1,M16,1,605,416 mod2 10/8 speq,1,16
b-formation,5* fervor Mortar,4,1,M16,1,605,416 mod2 10/8 speq,1,16
b-formation,5* fervor Mortar,4,1,M16,1,605,416 mod2 10/8 speq,1,13
b-formation,5* fervor Mortar,4,1,M16,1,605,416 mod2 10/8 speq,1,23
b-formation,5* fervor Mortar,4,1,M16,1,605,416 mod2 10/8 speq,1,16
b-formation,5* fervor Mortar,4,1,M16,1,605,416 mod2 10/8 speq,1,30
b-formation,5* fervor Mortar,4,1,M16,1,605,416 mod2 10/8 speq,1,14
b-formation,5* fervor Mortar,4,1,M16,1,605,416 mod2 10/8 speq,1,24
b-formation,5* fervor Mortar,4,1,M16,1,605,k11 sl10 eot,1,52
b-formation,5* fervor Mortar,4,1,M16,1,605,k11 sl10 eot,1,44
b-formation,5* fervor Mortar,4,1,M16,1,605,k11 sl10 eot,1,26
b-formation,5* fervor Mortar,4,1,M16,1,605,k11 sl10 eot,1,28
b-formation,5* fervor Mortar,4,1,M16,1,605,k11 sl10 eot,1,33
b-formation,5* fervor Mortar,4,1,M16,1,605,k11 sl10 eot,1,45
b-formation,5* fervor Mortar,4,1,M16,1,605,k11 sl10 eot,1,31
b-formation,5* fervor Mortar,4,1,M16,1,605,k11 sl10 eot,1,24
b-formation,5* fervor Mortar,4,1,M16,1,605,k11 sl10 eot,1,36
b-formation,5* fervor Mortar,4,1,M16,1,605,k11 sl10 eot,1,48
b-formation,5* fervor Mortar,4,1,M16,1,605,uzi mod2 8/8,1,23
b-formation,5* fervor Mortar,4,1,M16,1,605,uzi mod2 8/8,1,10
b-formation,5* fervor Mortar,4,1,M16,1,605,uzi mod2 8/8,1,6
b-formation,5* fervor Mortar,4,1,M16,1,605,uzi mod2 8/8,1,10
b-formation,5* fervor Mortar,4,1,M16,1,605,uzi mod2 8/8,1,17
b-formation,5* fervor Mortar,4,1,M16,1,605,uzi mod2 8/8,1,16
b-formation,5* fervor Mortar,4,1,M16,1,605,uzi mod2 8/8,1,10
b-formation,5* fervor Mortar,4,1,M16,1,605,uzi mod2 8/8,1,20
b-formation,5* fervor Mortar,4,1,M16,1,605,uzi mod2 8/8,1,16
b-formation,5* fervor Mortar,4,1,M16,1,605,uzi mod2 8/8,1,14
b-formation,5* fervor Mortar,4,1,M16,1,605,416 mod3 10/10 speq,1,8
b-formation,5* fervor Mortar,4,1,M16,1,605,416 mod3 10/10 speq,1,21
b-formation,5* fervor Mortar,4,1,M16,1,605,416 mod3 10/10 speq,1,14
b-formation,5* fervor Mortar,4,1,M16,1,605,416 mod3 10/10 speq,1,13
b-formation,5* fervor Mortar,4,1,M16,1,605,416 mod3 10/10 speq,1,14
b-formation,5* fervor Mortar,4,1,M16,1,605,416 mod3 10/10 speq,1,8
b-formation,5* fervor Mortar,4,1,M16,1,605,416 mod3 10/10 speq,1,15
b-formation,5* fervor Mortar,4,1,M16,1,605,416 mod3 10/10 speq,1,12
b-formation,5* fervor Mortar,4,1,M16,1,605,416 mod3 10/10 speq,1,16
b-formation,5* fervor Mortar,4,1,M16,1,605,416 mod3 10/10 speq,1,15
b-formation,5* fervor Mortar,4,1,M16,1,605,uzi mod2 9/8,1,11
b-formation,5* fervor Mortar,4,1,M16,1,605,uzi mod2 9/8,1,12
b-formation,5* fervor Mortar,4,1,M16,1,605,uzi mod2 9/8,1,20
b-formation,5* fervor Mortar,4,1,M16,1,605,uzi mod2 9/8,1,18
b-formation,5* fervor Mortar,4,1,M16,1,605,uzi mod2 9/8,1,7
b-formation,5* fervor Mortar,4,1,M16,1,605,uzi mod2 9/8,1,13
b-formation,5* fervor Mortar,4,1,M16,1,605,uzi mod2 9/8,1,22
b-formation,5* fervor Mortar,4,1,M16,1,605,uzi mod2 9/8,1,11
b-formation,5* fervor Mortar,4,1,M16,1,605,uzi mod2 9/8,1,12
b-formation,5* fervor Mortar,4,1,M16,1,605,uzi mod2 9/8,1,13
b-formation,5* fervor Mortar,10,1,M16,1,605,416 mod2 10/8 speq,1,37
b-formation,5* fervor Mortar,10,1,M16,1,605,416 mod2 10/8 speq,1,41
b-formation,5* fervor Mortar,10,1,M16,1,605,416 mod2 10/8 speq,1,43
b-formation,5* fervor Mortar,10,1,M16,1,605,416 mod2 10/8 speq,1,49
b-formation,5* fervor Mortar,10,1,M16,1,605,416 mod2 10/8 speq,1,52
b-formation,5* fervor Mortar,10,1,M16,1,605,416 mod2 10/8 speq,1,50
b-formation,5* fervor Mortar,10,1,M16,1,605,416 mod2 10/8 speq,1,35
b-formation,5* fervor Mortar,10,1,M16,1,605,416 mod2 10/8 speq,1,43
b-formation,5* fervor Mortar,10,1,M16,1,605,416 mod2 10/8 speq,1,50
b-formation,5* fervor Mortar,10,1,M16,1,605,416 mod2 10/8 speq,1,26
b-formation,5* fervor Mortar,10,1,M16,1,605,k11 sl10 eot,1,52
b-formation,5* fervor Mortar,10,1,M16,1,605,k11 sl10 eot,1,45
b-formation,5* fervor Mortar,10,1,M16,1,605,k11 sl10 eot,1,29
b-formation,5* fervor Mortar,10,1,M16,1,605,k11 sl10 eot,1,60
b-formation,5* fervor Mortar,10,1,M16,1,605,k11 sl10 eot,1,40
b-formation,5* fervor Mortar,10,1,M16,1,605,k11 sl10 eot,1,44
b-formation,5* fervor Mortar,10,1,M16,1,605,k11 sl10 eot,1,60
b-formation,5* fervor Mortar,10,1,M16,1,605,k11 sl10 eot,1,56
b-formation,5* fervor Mortar,10,1,M16,1,605,k11 sl10 eot,1,42
b-formation,5* fervor Mortar,10,1,M16,1,605,k11 sl10 eot,1,40
b-formation,5* fervor Mortar,10,1,M16,1,605,uzi mod2 8/8,1,68
b-formation,5* fervor Mortar,10,1,M16,1,605,uzi mod2 8/8,1,45
b-formation,5* fervor Mortar,10,1,M16,1,605,uzi mod2 8/8,1,48
b-formation,5* fervor Mortar,10,1,M16,1,605,uzi mod2 8/8,1,76
b-formation,5* fervor Mortar,10,1,M16,1,605,uzi mod2 8/8,1,19
b-formation,5* fervor Mortar,10,1,M16,1,605,uzi mod2 8/8,1,14
b-formation,5* fervor Mortar,10,1,M16,1,605,uzi mod2 8/8,1,13
b-formation,5* fervor Mortar,10,1,M16,1,605,uzi mod2 8/8,1,58
b-formation,5* fervor Mortar,10,1,M16,1,605,uzi mod2 8/8,1,27
b-formation,5* fervor Mortar,10,1,M16,1,605,uzi mod2 8/8,1,59
b-formation,5* fervor Mortar,10,1,M16,1,605,416 mod3 10/10 speq,1,28
b-formation,5* fervor Mortar,10,1,M16,1,605,416 mod3 10/10 speq,1,32
b-formation,5* fervor Mortar,10,1,M16,1,605,416 mod3 10/10 speq,1,21
b-formation,5* fervor Mortar,10,1,M16,1,605,416 mod3 10/10 speq,1,22
b-formation,5* fervor Mortar,10,1,M16,1,605,416 mod3 10/10 speq,1,35
b-formation,5* fervor Mortar,10,1,M16,1,605,416 mod3 10/10 speq,1,25
b-formation,5* fervor Mortar,10,1,M16,1,605,416 mod3 10/10 speq,1,35
b-formation,5* fervor Mortar,10,1,M16,1,605,416 mod3 10/10 speq,1,28
b-formation,5* fervor Mortar,10,1,M16,1,605,416 mod3 10/10 speq,1,35
b-formation,5* fervor Mortar,10,1,M16,1,605,416 mod3 10/10 speq,1,20
b-formation,5* fervor Mortar,10,1,M16,1,605,uzi mod2 9/8,1,12
b-formation,5* fervor Mortar,10,1,M16,1,605,uzi mod2 9/8,1,13
b-formation,5* fervor Mortar,10,1,M16,1,605,uzi mod2 9/8,1,9
b-formation,5* fervor Mortar,10,1,M16,1,605,uzi mod2 9/8,1,14
b-formation,5* fervor Mortar,10,1,M16,1,605,uzi mod2 9/8,1,11
b-formation,5* fervor Mortar,10,1,M16,1,605,uzi mod2 9/8,1,54
b-formation,5* fervor Mortar,10,1,M16,1,605,uzi mod2 9/8,1,11
b-formation,5* fervor Mortar,10,1,M16,1,605,uzi mod2 9/8,1,57
b-formation,5* fervor Mortar,10,1,M16,1,605,uzi mod2 9/8,1,8
b-formation,5* fervor Mortar,10,1,M16,1,605,uzi mod2 9/8,1,9
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,48
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,41
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,37
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,28
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,42
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,35
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,35
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,37
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,35
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod2 10/8 speq,1,37
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,36
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,45
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,26
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,55
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,68
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,81
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,43
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,71
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,60
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,k11 sl10 eot,1,42
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,Uzi mod2 8/8,1,80
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,Uzi mod2 8/8,1,17
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,Uzi mod2 8/8,1,31
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,Uzi mod2 8/8,1,15
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,Uzi mod2 8/8,1,19
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,Uzi mod2 8/8,1,19
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,Uzi mod2 8/8,1,15
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,Uzi mod2 8/8,1,9
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,Uzi mod2 8/8,1,21
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,Uzi mod2 8/8,1,20
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,37
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,34
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,37
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,28
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,33
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,35
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,39
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,46
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,34
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,416 mod3 10/10 speq,1,31
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,15
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,14
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,80
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,14
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,17
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,23
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,12
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,12
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,18
0-2-formation,5* dmg1 Rescue,4,1,M16,1,605,uzi mod2 9/8,1,30
0-2-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,58
0-2-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,68
0-2-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,67
0-2-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,60
0-2-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,68
0-2-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,46
0-2-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,64
0-2-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,42
0-2-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,53
0-2-formation,5* dmg1 Rescue,10,1,M16,1,605,416 mod2 10/8 speq,1,41
0-2-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,104
0-2-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,60
0-2-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,60
0-2-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,66
0-2-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,76
0-2-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,70
0-2-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,52
0-2-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,69
0-2-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,80
0-2-formation,5* dmg1 Rescue,10,1,M16,1,605,k11 sl10 eot,1,112
